"Class","Comparison","Wilcoxon_p","Wilcoxon_adj_p","Wilcoxon_sig","LMM_p","LMM_adj_p","LMM_sig"
"1-monoacylglycerols","low - medium",5.89e-09,2.02e-08,"***",0.369,0.737,"ns"
"1-monoacylglycerols","low - high",4.84e-10,3.87e-09,"***",0.9,0.974,"ns"
"1-monoacylglycerols","medium - high",0.0303,0.0346,"*",0.706,0.948,"ns"
"Alpha amino acids and derivatives","low - high",2.25e-07,6.13e-07,"***",0.165,0.639,"ns"
"Alpha amino acids and derivatives","low - medium",0.0108,0.0136,"*",0.781,0.948,"ns"
"Alpha amino acids and derivatives","medium - high",0.000906,0.00145,"**",0.21,0.639,"ns"
"Fatty acid esters","low - high",1.96e-10,2.35e-09,"***",0.273,0.639,"ns"
"Fatty acid esters","low - medium",0.000174,0.000301,"***",0.972,0.974,"ns"
"Fatty acid esters","medium - high",0.000176,0.000301,"***",0.176,0.639,"ns"
"Fatty alcohols","low - high",1.75e-09,8.42e-09,"***",0.769,0.948,"ns"
"Fatty alcohols","low - medium",1.54e-09,8.42e-09,"***",0.276,0.639,"ns"
"Fatty alcohols","medium - high",0.0671,0.0732,"ns",0.79,0.948,"ns"
"Long-chain fatty acids","low - high",6.45e-11,1.55e-09,"***",0.637,0.948,"ns"
"Long-chain fatty acids","low - medium",2.52e-07,6.13e-07,"***",0.921,0.974,"ns"
"Long-chain fatty acids","medium - high",0.00188,0.00283,"**",0.257,0.639,"ns"
"N-acyl-alpha amino acids","low - medium",0.0166,0.0199,"*",0.159,0.639,"ns"
"N-acyl-alpha amino acids","low - high",0.872,0.872,"ns",0.0277,0.639,"ns"
"N-acyl-alpha amino acids","medium - high",0.00296,0.00418,"**",0.293,0.639,"ns"
"N-acylethanolamines","medium - high",0.00687,0.00917,"**",0.518,0.948,"ns"
"N-acylethanolamines","low - medium",3.31e-06,7.23e-06,"***",0.707,0.948,"ns"
"N-acylethanolamines","low - high",2.72e-09,1.09e-08,"***",0.974,0.974,"ns"
"Oligopeptides","low - high",2.56e-07,6.13e-07,"***",0.0752,0.639,"ns"
"Oligopeptides","low - medium",0.145,0.151,"ns",0.579,0.948,"ns"
"Oligopeptides","medium - high",3.65e-05,7.31e-05,"***",0.158,0.639,"ns"
